,date,category,description,debit
0,2020-12-22 07:15:07.815379,Utility,Electricity,418.3354775217243
1,2021-08-28 15:15:07.815379,Travel,Auto,301.3777497294401
2,2021-04-01 17:15:07.815379,Books,Flipcart,176.64556316410133
3,2021-02-25 16:15:07.815379,Travel,Auto,157.07182841795515
4,2021-03-05 09:15:07.815379,Utility,Phone,107.68343696792937
5,2021-07-29 12:15:07.815379,Travel,Metro,339.49061845387655
6,2021-02-03 08:15:07.815379,Travel,Taxi,348.49297261177713
7,2021-02-10 15:15:07.815379,Food,Zomato,495.4599281797951
8,2021-01-23 13:15:07.815379,Music,Amazon,443.53640829192335
9,2021-02-15 08:15:07.815379,Food,Zomato,315.50928061465976
10,2021-02-11 14:15:07.815379,Travel,Metro,345.89996036923293
11,2020-10-15 08:15:07.815379,Food,Swiggy,427.99497007803296
12,2021-01-29 11:15:07.815379,Utility,Phone,308.71135498523984
13,2021-05-30 09:15:07.815379,Books,Amazon,153.8028349959245
14,2021-06-12 12:15:07.815379,Music,spotify,295.95535498165725
15,2021-02-07 13:15:07.815379,Travel,Auto,390.61200172994074
16,2021-06-10 12:15:07.815379,Music,Netflix,304.2118311911406
17,2021-02-05 07:15:07.815379,Travel,Taxi,361.6209409660257
18,2020-10-22 15:15:07.815379,Food,Swiggy,447.4365389177168
19,2020-11-20 11:15:07.815379,Food,Swiggy,264.8653450400193
20,2021-01-18 08:15:07.815379,Travel,Taxi,163.8499257229653
21,2021-05-26 09:15:07.815379,Books,Flipcart,124.37875915215403
22,2020-10-07 15:15:07.815379,Utility,Electricity,448.6176040109191
23,2021-08-11 11:15:07.815379,Food,Hotel,115.63502792106503
24,2021-02-01 16:15:07.815379,Music,Netflix,127.00735257654729
25,2021-03-18 09:15:07.815379,Books,Amazon,410.88379060061874
26,2021-05-28 11:15:07.815379,Books,Amazon Kindle,225.38984520602625
27,2021-04-28 10:15:07.815379,Music,spotify,100.6940793006998
28,2021-08-25 09:15:07.815379,Travel,Taxi,365.7390292317421
29,2021-09-08 15:15:07.815379,Food,Swiggy,477.4273830119777
30,2021-01-01 17:15:07.815379,Food,Zomato,112.64443770713042
31,2021-08-30 10:15:07.815379,Travel,Metro,338.3506457426912
32,2021-03-07 08:15:07.815379,Travel,Taxi,467.2250511034058
33,2020-12-22 17:15:07.815379,Music,spotify,479.436093374705
34,2021-07-24 09:15:07.815379,Food,Swiggy,211.02999249741666
35,2021-01-16 07:15:07.815379,Travel,Taxi,354.51689121024253
36,2021-07-27 14:15:07.815379,Travel,Metro,434.1058960264933
37,2021-08-12 10:15:07.815379,Food,Swiggy,229.54874118750448
38,2021-07-25 08:15:07.815379,Food,Swiggy,369.85192572939593
39,2021-01-14 12:15:07.815379,Music,Amazon,243.64743248564818
40,2021-07-01 07:15:07.815379,Music,Netflix,429.15777488869395
41,2021-04-05 14:15:07.815379,Food,Zomato,132.02891156372027
42,2021-02-07 13:15:07.815379,Books,Flipcart,204.20687859075693
43,2020-11-17 08:15:07.815379,Food,Hotel,264.3160925083697
44,2020-12-26 15:15:07.815379,Music,Amazon,135.76771299310093
45,2021-05-03 08:15:07.815379,Utility,Phone,439.07130086284184
46,2021-03-03 17:15:07.815379,Books,Amazon,250.4081973171163
47,2021-06-10 09:15:07.815379,Books,Amazon Kindle,438.5552776315245
48,2021-02-22 14:15:07.815379,Travel,Metro,211.18254910833645
49,2021-06-12 13:15:07.815379,Utility,Electricity,148.24880160403643
50,2020-10-08 11:15:07.815379,Utility,Phone,163.55563419924985
51,2021-01-20 12:15:07.815379,Food,Swiggy,309.58723368544395
52,2020-10-17 15:15:07.815379,Music,spotify,454.1212541379086
53,2021-05-15 16:15:07.815379,Food,Hotel,362.2648612294762
54,2021-07-19 13:15:07.815379,Travel,Metro,127.31799507204599
55,2021-07-01 16:15:07.815379,Utility,Electricity,160.39727446149246
56,2021-01-06 12:15:07.815379,Books,Amazon Kindle,459.64286672906553
57,2021-05-10 11:15:07.815379,Music,spotify,399.1312865363829
